label,x,y,z
1,-0.04,0.07,0.0
2,10.04,0.07,0.0
3,10.04,0.07,0.09
4,-0.04,0.07,0.09
5,-0.04,0.0,0.0
6,10.04,0.0,0.0
7,10.04,0.0,0.09
8,-0.04,0.0,0.09
9,-0.04,-0.04,0.0
10,10.04,-0.04,0.0
11,10.04,-0.04,0.09
12,-0.04,-0.04,0.09
13,-0.04,-0.04,-0.3
14,10.04,-0.04,-0.3
15,-0.04,0.0,-0.3
16,10.04,0.0,-0.3
17,-0.04,0.07,-0.3
18,10.04,0.07,-0.3
19,-0.04,0.14,-0.3
20,10.04,0.14,-0.3
21,10.04,0.14,0.0
22,-0.04,0.14,0.0
23,10.04,0.18,-0.3
24,-0.04,0.18,-0.3
25,-0.04,0.18,0.0
26,10.04,0.18,0.0
27,-0.04,0.18,-1.0
28,10.04,0.18,-1.0
29,10.04,0.18,-6.0
30,-0.04,0.18,-6.0
31,10.04,0.14,-6.0
32,10.04,0.14,-1.0
33,-0.04,0.14,-1.0
34,-0.04,0.14,-6.0
35,10.04,0.07,-1.0
36,-0.04,0.07,-1.0
37,-0.04,0.07,-6.0
38,10.04,0.07,-6.0
39,10.04,0.0,-1.0
40,-0.04,0.0,-1.0
41,-0.04,0.0,-6.0
42,10.04,0.0,-6.0
43,10.04,-0.04,-1.0
44,-0.04,-0.04,-1.0
45,-0.04,-0.04,-6.0
46,10.04,-0.04,-6.0
47,10.04,0.14,0.09
48,-0.04,0.14,0.09
49,-0.04,0.18,0.09
50,10.04,0.18,0.09
51,0.009901,0.07,0.0
52,0.059802,0.07,0.0
53,0.109703,0.07,0.0
54,0.159604,0.07,0.0
55,0.2095049,0.07,0.0
56,0.2594059,0.07,0.0
57,0.3093069,0.07,0.0
58,0.3592079,0.07,0.0
59,0.4091089,0.07,0.0
60,0.4590099,0.07,0.0
61,0.5089109,0.07,0.0
62,0.5588119,0.07,0.0
63,0.6087129,0.07,0.0
64,0.6586139,0.07,0.0
65,0.7085149,0.07,0.0
66,0.7584158,0.07,0.0
67,0.8083168,0.07,0.0
68,0.8582178,0.07,0.0
69,0.9081188,0.07,0.0
70,0.9580198,0.07,0.0
71,1.0079207,0.07,0.0
72,1.0578218,0.07,0.0
73,1.1077228,0.07,0.0
74,1.1576238,0.07,0.0
75,1.2075248,0.07,0.0
76,1.2574258,0.07,0.0
77,1.3073267,0.07,0.0
78,1.3572277,0.07,0.0
79,1.4071287,0.07,0.0
80,1.4570297,0.07,0.0
81,1.5069307,0.07,0.0
82,1.5568317,0.07,0.0
83,1.6067327,0.07,0.0
84,1.6566336,0.07,0.0
85,1.7065346,0.07,0.0
86,1.7564356,0.07,0.0
87,1.8063366,0.07,0.0
88,1.8562376,0.07,0.0
89,1.9061387,0.07,0.0
90,1.9560395,0.07,0.0
91,2.0059407,0.07,0.0
92,2.0558417,0.07,0.0
93,2.1057427,0.07,0.0
94,2.1556435,0.07,0.0
95,2.2055445,0.07,0.0
96,2.2554455,0.07,0.0
97,2.3053465,0.07,0.0
98,2.3552475,0.07,0.0
99,2.4051485,0.07,0.0
100,2.4550495,0.07,0.0
101,2.5049505,0.07,0.0
102,2.5548515,0.07,0.0
103,2.6047525,0.07,0.0
104,2.6546535,0.07,0.0
105,2.7045546,0.07,0.0
106,2.7544553,0.07,0.0
107,2.8043563,0.07,0.0
108,2.8542573,0.07,0.0
109,2.9041584,0.07,0.0
110,2.9540594,0.07,0.0
111,3.0039604,0.07,0.0
112,3.0538614,0.07,0.0
113,3.1037624,0.07,0.0
114,3.1536634,0.07,0.0
